gisjoin_1800,cnty_area_1800,gisjoin_2020,cnty_area_2020,cnty_part_area,cnty_part_pop_m2,cnty_part_pop_m3,cnty_part_pop_m4,cnty_pop_m2,cnty_pop_m3,cnty_pop_m4,m1_weight,m2_weight,m3_weight,m4_weight
G1301330,1178338325.45,13219,482707996.346,44164416.6002,410.72522,529.22955,528.22052,10761.001,10761,10761,.03748025,.038167939,.049180333,.049086563
G1301330,1178338325.45,13221,1144873417.3,186037.016837,0,0,0,10761.001,10761,10761,.00015788082,0,0,0
G1301330,1178338325.45,13237,934173658.83,103093.912697,0,0,0,10761.001,10761,10761,.000087490924,0,0,0
G1301330,1178338325.45,13237,934173658.83,.137958320179,0,0,0,10761.001,10761,10761,1.1707869e-10,0,0,0
G1301330,1178338325.45,13265,505946806.122,85029440.8355,784.94153,1011.4164,1006.8815,10761.001,10761,10761,.072160468,.072943173,.093989074,.093567654
G1301410,1490949260.96,13009,694831269.112,.140980395954,0,0,0,14456.001,14456.001,14456,9.4557473e-11,0,0,0
G1301410,1490949260.96,13009,694831269.112,167164234.874,1618.0645,1866.8345,1923.2797,14456.001,14456.001,14456,.11211933,.1119303,.12913907,.13304369
G1301410,1490949260.96,13125,374131982.296,6815.57793576,0,0,0,14456.001,14456.001,14456,4.5713009e-06,0,0,0
G1301410,1490949260.96,13133,1052081770.18,212736.874162,0,0,0,14456.001,14456.001,14456,.00014268552,0,0,0
G1301410,1490949260.96,13141,1237537106.26,1237288920.7,11994.993,11548.047,11540.442,14456.001,14456.001,14456,.82986653,.82975876,.79884106,.79831505
G1301410,1490949260.96,13141,1237537106.26,.0419063583316,0,0,0,14456.001,14456.001,14456,2.8107166e-11,0,0,0
G1301410,1490949260.96,13237,934173658.83,68761.74436890001,0,0,0,14456.001,14456.001,14456,.00004611944,0,0,0
G1301410,1490949260.96,13237,934173658.83,.813602008403,0,0,0,14456.001,14456.001,14456,5.4569393e-10,0,0,0
G1301410,1490949260.96,13265,505946806.122,.0470463106913,0,0,0,14456.001,14456.001,14456,3.1554603e-11,0,0,0
G1301410,1490949260.96,13265,505946806.122,85883593.8441,842.94379,1041.1193,992.27826,14456.001,14456.001,14456,.057603296,.058310993,.072019868,.068641275
G1301410,1490949260.96,13301,742518120.977,145159.976583,0,0,0,14456.001,14456.001,14456,.000097360775,0,0,0
G1301410,1490949260.96,13303,1772473028.54,179026.431808,0,0,0,14456.001,14456.001,14456,.00012007547,0,0,0
G1301410,1490949260.96,13319,1170544770.33,9.01097753839,0,0,0,14456.001,14456.001,14456,6.0437855e-09,0,0,0
G1301535,258007915221,1001,1565309073.27,1485855640.71,0,0,0,0,0,0,.0057589537,,,
G1301535,258007915221,1005,2342683550.24,48.963692196,0,0,0,0,0,0,1.8977593e-10,,,
G1301535,258007915221,1007,1621761111.9,1621761111.9,0,0,0,0,0,0,.0062857028,,,
G1301535,258007915221,1009,1685119450.03,1685119450.03,0,0,0,0,0,0,.0065312702,,,
G1301535,258007915221,1015,1585782463.42,1585782463.42,0,0,0,0,0,0,.0061462549,,,
G1301535,258007915221,1017,1562057365.59,1562057365.59,0,0,0,0,0,0,.0060543003,,,
G1301535,258007915221,1019,1553931795.41,1553931795.41,0,0,0,0,0,0,.0060228067,,,
G1301535,258007915221,1021,1815031029.68,1815031029.68,0,0,0,0,0,0,.0070347884,,,
G1301535,258007915221,1027,1569537100.74,1569537100.74,0,0,0,0,0,0,.0060832906,,,
G1301535,258007915221,1029,1453018817.78,1453018817.78,0,0,0,0,0,0,.0056316829,,,
G1301535,258007915221,1033,1614902734.69,1614902734.69,0,0,0,0,0,0,.006259121,,,
G1301535,258007915221,1037,1725838196.91,1725838196.91,0,0,0,0,0,0,.0066890903,,,
G1301535,258007915221,1043,1955495943.62,1955495943.62,0,0,0,0,0,0,.0075792093,,,
